,Tit_pag,link_pag
94,Clave SEP Maestría,http://www.cseuami.org/documentos/titulacion/formatos/clave_sep_mtra.pdf
95,"

                                        Doctorado                
",http://www.cseuami.org/index.php/tramite-grado-doctorado
96,Clave SEP Doctorado,http://www.cseuami.org/documentos/titulacion/formatos/clave_sep_doc1.pdf
97,"

                                        Instructivos de Servicios                
",http://www.cseuami.org/index.php/legislacion/instructivos-de-servicios
98,"

                                        Lineamientos                
",http://www.cseuami.org/index.php/legislacion/lineamientos
99,"

                                        Reglamentos                
",http://www.cseuami.org/index.php/legislacion/reglamentos
100,Leer más,http://www.cseuami.org/index.php/proceso
101,,http://www.cseuami.org/#rt-head-anchor
102,AVISO: INSTRUMENTO DE EVALUACIÓN DEL ALUMNADO,http://www.cseuami.org/index.php/encuesta-alumnos
103,1. Solicitud de Certificado Total de Estudios (revisa aquí),http://www.cseuami.org/index.php/certificado-total-de-estudios
104,2. Trámite de Títulación en Línea (revisa aquí),http://www.cseuami.org/index.php/tramite-titulacion-lic
105,Clave SEP Licenciatura,http://www.cseuami.org/documentos/titulacion/formatos/clave_sep_lic.pdf
106,CONSULTA AQUI,http://www.cseuami.org/documentos/titulacion/formatos/INSTRUCTIVO TITULACIÓN 27032021.pdf
107,Chatbot,http://escolaresbot.izt.uam.mx/
108, CELEX,http://www.celex.izt.uam.mx/celex/index.shtml
109,SERVICIOSOCIAL,http://www.celex.izt.uam.mx/ss.pdf
110,COLOCACIÓN 21-P,http://www.celex.izt.uam.mx/rescol21p.pdf
111,DIAGNÓSTICO 21-P,http://www.celex.izt.uam.mx/resdiag21p.pdf
112,COMPRENSIÓN DELECTURA 21-I,http://www.celex.izt.uam.mx/rescomp21i.pdf
113,COLOCACIÓN 21-I,http://www.celex.izt.uam.mx/rescol21i.pdf
114,COMPRENSIÓN DELECTURA 20-O,http://www.celex.izt.uam.mx/rescomp20o.pdf
115,COLOCACIÓN 20-O,http://www.celex.izt.uam.mx/rescol20o.pdf
116,DIAGNÓSTICO 20-O,http://www.celex.izt.uam.mx/resdiag20o.pdf
117,COMPRENSIÓN DELECTURA 20-P,http://www.celex.izt.uam.mx/rescomp20p.pdf
